cbsa_code,metro_name,rpp
28100,"Kankakee, IL (Metropolitan Statistical Area)",96.394
28140,"Kansas City, MO-KS (Metropolitan Statistical Area)",92.543
28420,"Kennewick-Richland, WA (Metropolitan Statistical Area)",100.079
28450,"Kenosha, WI (Metropolitan Statistical Area)",101.118
28660,"Killeen-Temple, TX (Metropolitan Statistical Area)",91.132
28700,"Kingsport-Bristol, TN-VA (Metropolitan Statistical Area)",86.447
28740,"Kingston, NY (Metropolitan Statistical Area)",100.709
28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY (Metropolitan Statistical Area)",109.422
28940,"Knoxville, TN (Metropolitan Statistical Area)",92.569
29020,"Kokomo, IN (Metropolitan Statistical Area)",89.648
29100,"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",91.769
29180,"Lafayette, LA (Metropolitan Statistical Area)",87.209
29200,"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",93.430
29340,"Lake Charles, LA (Metropolitan Statistical Area)",85.852
29420,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",94.098
29460,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",97.141
29540,"Lancaster, PA (Metropolitan Statistical Area)",98.257
29620,"Lansing-East Lansing, MI (Metropolitan Statistical Area)",94.991
29700,"Laredo, TX (Metropolitan Statistical Area)",86.956
29740,"Las Cruces, NM (Metropolitan Statistical Area)",90.212
29820,"Las Vegas-Henderson-North Las Vegas, NV (Metropolitan Statistical Area)",100.215
29940,"Lawrence, KS (Metropolitan Statistical Area)",90.243
30020,"Lawton, OK (Metropolitan Statistical Area)",85.941
30140,"Lebanon, PA (Metropolitan Statistical Area)",93.214
30300,"Lewiston, ID-WA (Metropolitan Statistical Area)",91.160
30340,"Lewiston-Auburn, ME (Metropolitan Statistical Area)",94.736
30460,"Lexington-Fayette, KY (Metropolitan Statistical Area)",92.889
30500,"Lexington Park, MD (Metropolitan Statistical Area)",100.760
30620,"Lima, OH (Metropolitan Statistical Area)",89.669
30700,"Lincoln, NE (Metropolitan Statistical Area)",91.581
30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",89.364
30860,"Logan, UT-ID (Metropolitan Statistical Area)",95.927
30980,"Longview, TX (Metropolitan Statistical Area)",89.485
31020,"Longview-Kelso, WA (Metropolitan Statistical Area)",97.545
31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",113.566
31140,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",93.074
31180,"Lubbock, TX (Metropolitan Statistical Area)",91.317
31340,"Lynchburg, VA (Metropolitan Statistical Area)",89.363
31420,"Macon-Bibb County, GA (Metropolitan Statistical Area)",88.528
31540,"Madison, WI (Metropolitan Statistical Area)",97.287
31700,"Manchester-Nashua, NH (Metropolitan Statistical Area)",105.657
31740,"Manhattan, KS (Metropolitan Statistical Area)",90.162
31860,"Mankato, MN (Metropolitan Statistical Area)",90.955
31900,"Mansfield, OH (Metropolitan Statistical Area)",88.872
32580,"McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",85.895
32780,"Medford, OR (Metropolitan Statistical Area)",101.433
32820,"Memphis, TN-MS-AR (Metropolitan Statistical Area)",92.179
32900,"Merced, CA (Metropolitan Statistical Area)",98.275
33100,"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)",114.155
33140,"Michigan City-La Porte, IN (Metropolitan Statistical Area)",91.682
33220,"Midland, MI (Metropolitan Statistical Area)",91.921
33260,"Midland, TX (Metropolitan Statistical Area)",95.783
33340,"Milwaukee-Waukesha, WI (Metropolitan Statistical Area)",96.937
33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",104.822
33500,"Minot, ND (Metropolitan Statistical Area)",87.028
33540,"Missoula, MT (Metropolitan Statistical Area)",96.445
33660,"Mobile, AL (Metropolitan Statistical Area)",88.098
33700,"Modesto, CA (Metropolitan Statistical Area)",104.108
33740,"Monroe, LA (Metropolitan Statistical Area)",83.597
33780,"Monroe, MI (Metropolitan Statistical Area)",93.492
33860,"Montgomery, AL (Metropolitan Statistical Area)",89.682
34060,"Morgantown, WV (Metropolitan Statistical Area)",93.323
34100,"Morristown, TN (Metropolitan Statistical Area)",86.364
34580,"Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",102.443
34620,"Muncie, IN (Metropolitan Statistical Area)",88.148
34740,"Muskegon-Norton Shores, MI (Metropolitan Statistical Area)",92.519
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC (Metropolitan Statistical Area)",93.642
34900,"Napa, CA (Metropolitan Statistical Area)",112.554
34940,"Naples-Marco Island, FL (Metropolitan Statistical Area)",103.200
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",96.338
35300,"New Haven, CT (Metropolitan Statistical Area)",104.559
35380,"New Orleans-Metairie, LA (Metropolitan Statistical Area)",92.597
35620,"New York-Newark-Jersey City, NY-NJ (Metropolitan Statistical Area)",112.563
35660,"Niles, MI (Metropolitan Statistical Area)",92.370
35840,"North Port-Bradenton-Sarasota, FL (Metropolitan Statistical Area)",102.417
35980,"Norwich-New London-Willimantic, CT (Metropolitan Statistical Area)",100.445
36100,"Ocala, FL (Metropolitan Statistical Area)",95.234
36220,"Odessa, TX (Metropolitan Statistical Area)",93.896
36260,"Ogden, UT (Metropolitan Statistical Area)",100.349
36420,"Oklahoma City, OK (Metropolitan Statistical Area)",90.408
36500,"Olympia-Lacey-Tumwater, WA (Metropolitan Statistical Area)",103.670
36540,"Omaha, NE-IA (Metropolitan Statistical Area)",91.911
36740,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",101.418
36780,"Oshkosh-Neenah, WI (Metropolitan Statistical Area)",92.929
36980,"Owensboro, KY (Metropolitan Statistical Area)",88.610
37100,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",110.534
37140,"Paducah, KY-IL (Metropolitan Statistical Area)",86.084
37340,"Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",100.005
37460,"Panama City-Panama City Beach, FL (Metropolitan Statistical Area)",97.296
37620,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)",87.066
37860,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",97.717
37900,"Peoria, IL (Metropolitan Statistical Area)",91.231
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",102.554
38060,"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",103.316
38240,"Pinehurst-Southern Pines, NC (Metropolitan Statistical Area)",88.336
38300,"Pittsburgh, PA (Metropolitan Statistical Area)",94.671
38340,"Pittsfield, MA (Metropolitan Statistical Area)",95.106
38540,"Pocatello, ID (Metropolitan Statistical Area)",88.906
38860,"Portland-South Portland, ME (Metropolitan Statistical Area)",101.858
38900,"Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",105.421
38940,"Port St. Lucie, FL (Metropolitan Statistical Area)",100.228
39150,"Prescott Valley-Prescott, AZ (Metropolitan Statistical Area)",98.255
39300,"Providence-Warwick, RI-MA (Metropolitan Statistical Area)",101.773
39340,"Provo-Orem-Lehi, UT (Metropolitan Statistical Area)",98.232
39380,"Pueblo, CO (Metropolitan Statistical Area)",91.762
39460,"Punta Gorda, FL (Metropolitan Statistical Area)",100.525
39540,"Racine-Mount Pleasant, WI (Metropolitan Statistical Area)",95.961
39580,"Raleigh-Cary, NC (Metropolitan Statistical Area)",98.157
39660,"Rapid City, SD (Metropolitan Statistical Area)",89.160
39740,"Reading, PA (Metropolitan Statistical Area)",97.060
39820,"Redding, CA (Metropolitan Statistical Area)",100.684
39900,"Reno, NV (Metropolitan Statistical Area)",101.014
40060,"Richmond, VA (Metropolitan Statistical Area)",97.858
40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",106.442
40220,"Roanoke, VA (Metropolitan Statistical Area)",93.618
40340,"Rochester, MN (Metropolitan Statistical Area)",90.821
40380,"Rochester, NY (Metropolitan Statistical Area)",97.035
40420,"Rockford, IL (Metropolitan Statistical Area)",92.154
40580,"Rocky Mount, NC (Metropolitan Statistical Area)",88.012
40660,"Rome, GA (Metropolitan Statistical Area)",90.161
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",106.670
40980,"Saginaw, MI (Metropolitan Statistical Area)",90.891
41060,"St. Cloud, MN (Metropolitan Statistical Area)",87.632
41100,"St. George, UT (Metropolitan Statistical Area)",97.321
41140,"St. Joseph, MO-KS (Metropolitan Statistical Area)",86.382
41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",95.088
41420,"Salem, OR (Metropolitan Statistical Area)",103.649
41500,"Salinas, CA (Metropolitan Statistical Area)",109.042
41540,"Salisbury, MD (Metropolitan Statistical Area)",95.617
41620,"Salt Lake City-Murray, UT (Metropolitan Statistical Area)",100.868
41660,"San Angelo, TX (Metropolitan Statistical Area)",92.453
41700,"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",94.716
41740,"San Diego-Chula Vista-Carlsbad, CA (Metropolitan Statistical Area)",111.887
41780,"Sandusky, OH (Metropolitan Statistical Area)",89.281
41860,"San Francisco-Oakland-Fremont, CA (Metropolitan Statistical Area)",115.613
41940,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",110.423
42020,"San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)",108.596
42100,"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)",109.896
42140,"Santa Fe, NM (Metropolitan Statistical Area)",98.767
42200,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)",108.798
42220,"Santa Rosa-Petaluma, CA (Metropolitan Statistical Area)",107.784
42340,"Savannah, GA (Metropolitan Statistical Area)",95.206
42540,"Scranton--Wilkes-Barre, PA (Metropolitan Statistical Area)",93.556
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",111.133
42680,"Sebastian-Vero Beach-West Vero Corridor, FL (Metropolitan Statistical Area)",98.308
42700,"Sebring, FL (Metropolitan Statistical Area)",92.470
43100,"Sheboygan, WI (Metropolitan Statistical Area)",94.014
43300,"Sherman-Denison, TX (Metropolitan Statistical Area)",93.771
43340,"Shreveport-Bossier City, LA (Metropolitan Statistical Area)",84.766
43420,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)",89.243
43580,"Sioux City, IA-NE-SD (Metropolitan Statistical Area)",86.454
