cbsa_code,metro_name_x,employment,median_wage,metro_name_y,bachelors_or_higher_pct,metro_name,rpp
16700,"Charleston-North Charleston, SC",394170,49150,"Charleston-North Charleston, SC Metro Area",40.8,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",100.962
16740,"Charlotte-Concord-Gastonia, NC-SC",1358370,49990,"Charlotte-Concord-Gastonia, NC-SC Metro Area",39.9,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",97.348
16820,"Charlottesville, VA",114780,55180,"Charlottesville, VA Metro Area",53.5,"Charlottesville, VA (Metropolitan Statistical Area)",99.146
16860,"Chattanooga, TN-GA",268750,46700,"Chattanooga, TN-GA Metro Area",31.9,"Chattanooga, TN-GA (Metropolitan Statistical Area)",91.464
16940,"Cheyenne, WY",48470,51540,"Cheyenne, WY Metro Area",33.1,"Cheyenne, WY (Metropolitan Statistical Area)",96.491
16980,"Chicago-Naperville-Elgin, IL-IN",4513280,54720,"Chicago-Naperville-Elgin, IL-IN Metro Area",41.6,"Chicago-Naperville-Elgin, IL-IN (Metropolitan Statistical Area)",103.595
17020,"Chico, CA",78220,48050,"Chico, CA Metro Area",31.9,"Chico, CA (Metropolitan Statistical Area)",101.197
17140,"Cincinnati, OH-KY-IN",1101030,50170,"Cincinnati, OH-KY-IN Metro Area",37.1,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",95.37
17300,"Clarksville, TN-KY",103220,44860,"Clarksville, TN-KY Metro Area",27.7,"Clarksville, TN-KY (Metropolitan Statistical Area)",90.947
17410,"Cleveland, OH",1031130,50140,"Cleveland, OH Metro Area",34.1,"Cleveland, OH (Metropolitan Statistical Area)",93.923
17420,"Cleveland, TN",43010,40230,"Cleveland, TN Metro Area",23.3,"Cleveland, TN (Metropolitan Statistical Area)",88.08
17660,"Coeur d'Alene, ID",72280,47750,"Coeur d'Alene, ID Metro Area",30.0,"Coeur d'Alene, ID (Metropolitan Statistical Area)",98.293
17780,"College Station-Bryan, TX",134040,44470,"College Station-Bryan, TX Metro Area",39.7,"College Station-Bryan, TX (Metropolitan Statistical Area)",90.951
17820,"Colorado Springs, CO",316060,52710,"Colorado Springs, CO Metro Area",41.7,"Colorado Springs, CO (Metropolitan Statistical Area)",100.707
17860,"Columbia, MO",107680,47260,"Columbia, MO Metro Area",48.0,"Columbia, MO (Metropolitan Statistical Area)",89.438
17900,"Columbia, SC",394200,46430,"Columbia, SC Metro Area",35.4,"Columbia, SC (Metropolitan Statistical Area)",93.662
17980,"Columbus, GA-AL",116380,43540,"Columbus, GA-AL Metro Area",28.1,"Columbus, GA-AL (Metropolitan Statistical Area)",89.296
18020,"Columbus, IN",49820,48470,"Columbus, IN Metro Area",34.1,"Columbus, IN (Metropolitan Statistical Area)",93.003
18140,"Columbus, OH",1105580,51340,"Columbus, OH Metro Area",39.8,"Columbus, OH (Metropolitan Statistical Area)",95.469
18580,"Corpus Christi, TX",192580,45350,"Corpus Christi, TX Metro Area",23.2,"Corpus Christi, TX (Metropolitan Statistical Area)",92.671
18700,"Corvallis, OR",38550,57680,"Corvallis, OR Metro Area",54.2,"Corvallis, OR (Metropolitan Statistical Area)",104.017
18880,"Crestview-Fort Walton Beach-Destin, FL",125050,47510,"Crestview-Fort Walton Beach-Destin, FL Metro Area",34.9,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",97.031
19100,"Dallas-Fort Worth-Arlington, TX",4049800,51440,"Dallas-Fort Worth-Arlington, TX Metro Area",39.4,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",103.09
19140,"Dalton, GA",65300,42210,"Dalton, GA Metro Area",18.7,"Dalton, GA (Metropolitan Statistical Area)",89.844
19300,"Daphne-Fairhope-Foley, AL",87120,38520,"Daphne-Fairhope-Foley, AL Metro Area",33.7,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",94.69
19340,"Davenport-Moline-Rock Island, IA-IL",180450,48550,"Davenport-Moline-Rock Island, IA-IL Metro Area",29.9,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",89.079
