metro_name,bachelors_or_higher_pct,cbsa_code
"Ponce, PR Metro Area",28.1,38660
"Portland-South Portland, ME Metro Area",45.9,38860
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",42.5,38900
"Port St. Lucie, FL Metro Area",30.0,38940
"Prescott Valley-Prescott, AZ Metro Area",30.3,39150
"Providence-Warwick, RI-MA Metro Area",35.3,39300
"Provo-Orem-Lehi, UT Metro Area",43.9,39340
"Pueblo, CO Metro Area",25.6,39380
"Punta Gorda, FL Metro Area",27.0,39460
"Racine-Mount Pleasant, WI Metro Area",28.4,39540
"Raleigh-Cary, NC Metro Area",51.2,39580
"Rapid City, SD Metro Area",33.1,39660
"Reading, PA Metro Area",27.7,39740
"Redding, CA Metro Area",23.8,39820
"Reno, NV Metro Area",32.2,39900
"Richmond, VA Metro Area",41.1,40060
"Riverside-San Bernardino-Ontario, CA Metro Area",24.5,40140
"Roanoke, VA Metro Area",31.3,40220
"Rochester, MN Metro Area",43.0,40340
"Rochester, NY Metro Area",38.2,40380
"Rockford, IL Metro Area",25.0,40420
"Rocky Mount, NC Metro Area",20.5,40580
"Rome, GA Metro Area",25.9,40660
"Sacramento-Roseville-Folsom, CA Metro Area",37.1,40900
"Saginaw, MI Metro Area",24.4,40980
"St. Cloud, MN Metro Area",28.2,41060
"St. George, UT Metro Area",35.2,41100
"St. Joseph, MO-KS Metro Area",23.8,41140
"St. Louis, MO-IL Metro Area",38.2,41180
"Salem, OR Metro Area",27.1,41420
"Salinas, CA Metro Area",28.2,41500
"Salisbury, MD Metro Area",27.4,41540
"Salt Lake City-Murray, UT Metro Area",38.4,41620
"San Angelo, TX Metro Area",25.5,41660
"San Antonio-New Braunfels, TX Metro Area",32.3,41700
"San Diego-Chula Vista-Carlsbad, CA Metro Area",43.2,41740
"Sandusky, OH Metro Area",29.2,41780
"San Francisco-Oakland-Fremont, CA Metro Area",52.9,41860
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",55.5,41940
"San Juan-Bayamón-Caguas, PR Metro Area",32.3,41980
"San Luis Obispo-Paso Robles, CA Metro Area",39.8,42020
"Santa Cruz-Watsonville, CA Metro Area",43.9,42100
"Santa Fe, NM Metro Area",46.1,42140
"Santa Maria-Santa Barbara, CA Metro Area",36.8,42200
"Santa Rosa-Petaluma, CA Metro Area",38.5,42220
"Savannah, GA Metro Area",35.8,42340
"Scranton--Wilkes-Barre, PA Metro Area",27.2,42540
"Seattle-Tacoma-Bellevue, WA Metro Area",47.2,42660
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area",33.8,42680
"Sebring, FL Metro Area",20.5,42700
"Sheboygan, WI Metro Area",27.5,43100
"Sherman-Denison, TX Metro Area",23.9,43300
"Shreveport-Bossier City, LA Metro Area",26.1,43340
"Sierra Vista-Douglas, AZ Metro Area",28.1,43420
"Sioux City, IA-NE-SD Metro Area",24.6,43580
"Sioux Falls, SD-MN Metro Area",36.7,43620
"Slidell-Mandeville-Covington, LA Metro Area",37.7,43640
"South Bend-Mishawaka, IN-MI Metro Area",31.5,43780
"Spartanburg, SC Metro Area",24.3,43900
"Spokane-Spokane Valley, WA Metro Area",32.2,44060
"Springfield, IL Metro Area",36.1,44100
"Springfield, MA Metro Area",29.3,44140
"Springfield, MO Metro Area",30.8,44180
"Springfield, OH Metro Area",20.2,44220
"State College, PA Metro Area",46.2,44300
"Staunton-Stuarts Draft, VA Metro Area",27.7,44420
"Stockton-Lodi, CA Metro Area",22.7,44700
"Sumter, SC Metro Area",23.5,44940
"Syracuse, NY Metro Area",35.1,45060
"Tallahassee, FL Metro Area",41.4,45220
"Tampa-St. Petersburg-Clearwater, FL Metro Area",34.9,45300
"Terre Haute, IN Metro Area",22.9,45460
"Texarkana, TX-AR Metro Area",20.6,45500
"Toledo, OH Metro Area",30.2,45780
"Topeka, KS Metro Area",30.1,45820
"Traverse City, MI Metro Area",39.4,45900
"Trenton-Princeton, NJ Metro Area",45.4,45940
"Tucson, AZ Metro Area",36.8,46060
"Tulsa, OK Metro Area",30.5,46140
"Tuscaloosa, AL Metro Area",29.3,46220
"Twin Falls, ID Metro Area",21.6,46300
"Tyler, TX Metro Area",28.6,46340
"Urban Honolulu, HI Metro Area",38.5,46520
"Utica-Rome, NY Metro Area",26.7,46540
"Valdosta, GA Metro Area",25.5,46660
"Vallejo, CA Metro Area",28.8,46700
"Victoria, TX Metro Area",20.0,47020
"Vineland, NJ Metro Area",18.9,47220
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area",35.8,47260
"Visalia, CA Metro Area",16.6,47300
"Waco, TX Metro Area",27.5,47380
"Walla Walla, WA Metro Area",29.8,47460
"Warner Robins, GA Metro Area",31.1,47580
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",54.4,47900
"Waterbury-Shelton, CT Metro Area",33.8,47930
"Waterloo-Cedar Falls, IA Metro Area",31.0,47940
"Watertown-Fort Drum, NY Metro Area",26.5,48060
"Wausau, WI Metro Area",28.1,48140
"Weirton-Steubenville, WV-OH Metro Area",20.8,48260
"Wenatchee-East Wenatchee, WA Metro Area",27.8,48300
"Wheeling, WV-OH Metro Area",23.7,48540
"Wichita, KS Metro Area",31.8,48620
"Wichita Falls, TX Metro Area",24.9,48660
"Wildwood-The Villages, FL Metro Area",35.3,48680
"Williamsport, PA Metro Area",24.8,48700
"Wilmington, NC Metro Area",39.4,48900
"Winchester, VA-WV Metro Area",29.4,49020
"Winston-Salem, NC Metro Area",30.8,49180
"Worcester, MA Metro Area",39.7,49340
"Yakima, WA Metro Area",19.2,49420
"York-Hanover, PA Metro Area",27.6,49620
"Youngstown-Warren, OH Metro Area",24.1,49660
"Yuba City, CA Metro Area",19.5,49700
"Yuma, AZ Metro Area",16.8,49740
